Id,Designator,Package,Quantity,Designation,Digikey M/N
1,"U7,U4,U3,U2,U1",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,4,tmp117,296-52215-1-ND
2,"R8,R7,R6,R5,R4,R3",C_0603_1608Metric,5,10k,311-10KLDCT-ND
3,"C15,C13,C11,C10,C7,C6,C4,C3,C2,C1",C_0603_1608Metric,9,100nF,311-1343-1-ND
4,U5,"TC78H651AFNG,EL_Dual_H-Bridge",1,"TC78H651AFNG,EL_Dual_H-Bridge",264-TC78H651AFNGELCT-ND
5,Y1,ECS-.327-12.5-12R-C-TR,1,Crystal,XC2738CT-ND
6,U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBUx,497-16577-ND
7,D1,D_SMA,1,D_TVS,P4SMA13ACT-ND
8,"C14,C12",C_0603_1608Metric,2,13pF,311-3919-1-ND
9,"C9,C8",C_0603_1608Metric,2,1uF,311-1343-1-ND
10,C5,C_0603_1608Metric,1,10uF,490-6405-1-ND
11,"R2,R1",C_0603_1608Metric,2,2.2k,RMCF0603FT2K20CT-ND
